Crop Name	Predicted	Y_Test	Diff
IMG_7411_13_1.npz	5.67	5.03	0.64
IMG_7411_25_2.npz	45.75	23.99	21.76
IMG_8411_10_1.npz	7.77	10.57	-2.80
IMG_8602_18_3.npz	7.60	4.51	3.09
IMG_7460_10_3.npz	6.41	13.28	-6.86
IMG_7033_29_4.npz	9.27	5.82	3.46
IMG_8503_16_2.npz	19.52	22.31	-2.78
IMG_8559_20_0.npz	6.44	8.93	-2.49
IMG_7033_20_0.npz	6.14	4.07	2.07
IMG_8559_16_1.npz	4.77	3.99	0.78
IMG_8602_27_3.npz	7.60	3.99	3.61
IMG_8416_20_2.npz	14.62	20.84	-6.22
IMG_8602_8_2.npz	7.60	10.65	-3.05
IMG_8905_11_1.npz	11.13	5.90	5.22
IMG_8503_18_3.npz	17.10	4.08	13.01
IMG_8411_16_3.npz	21.51	6.29	15.22
IMG_8905_6_3.npz	9.61	9.77	-0.15
IMG_8895_30_1.npz	17.56	18.40	-0.84
IMG_8509_7_2.npz	8.86	9.78	-0.92
IMG_7411_29_0.npz	5.26	6.46	-1.19
IMG_8612_17_2.npz	7.60	8.49	-0.89
IMG_8612_22_1.npz	9.94	9.28	0.65
IMG_8559_4_3.npz	12.32	14.54	-2.23
IMG_8602_19_3.npz	7.60	4.80	2.80
IMG_8416_27_4.npz	21.66	14.08	7.59
IMG_7033_16_3.npz	7.60	21.17	-13.57
IMG_7411_30_3.npz	11.75	14.90	-3.15
IMG_8895_20_3.npz	7.60	3.98	3.62
IMG_8503_18_1.npz	12.91	4.08	8.83
IMG_8895_23_3.npz	5.93	5.73	0.21
IMG_8503_11_0.npz	8.08	4.94	3.14
IMG_8411_15_0.npz	8.88	18.87	-9.98
IMG_8612_28_0.npz	17.47	8.77	8.70
IMG_8559_10_3.npz	9.85	8.43	1.42
IMG_8411_6_0.npz	9.68	22.56	-12.88
IMG_8411_22_0.npz	28.40	30.18	-1.78
IMG_8411_15_2.npz	7.60	18.87	-11.26
IMG_8559_23_4.npz	4.44	6.28	-1.84
IMG_8895_19_0.npz	7.60	8.75	-1.15
IMG_8411_25_4.npz	22.95	20.09	2.87
IMG_8411_1_1.npz	11.64	32.05	-20.41
IMG_8583_22_1.npz	10.76	4.39	6.37
IMG_8612_22_0.npz	7.60	9.28	-1.68
IMG_8559_25_1.npz	14.15	15.01	-0.86
IMG_8411_8_4.npz	21.29	7.89	13.40
IMG_8509_7_0.npz	8.68	9.78	-1.10
IMG_8612_29_2.npz	12.95	5.80	7.14
IMG_8559_3_4.npz	12.33	7.87	4.47
IMG_7460_10_4.npz	6.69	13.28	-6.58
IMG_8895_24_4.npz	7.60	6.96	0.64
IMG_7411_6_3.npz	2.68	4.70	-2.02
IMG_8895_29_2.npz	7.60	3.92	3.69
IMG_8503_12_1.npz	7.60	9.31	-1.71
IMG_8583_8_3.npz	8.84	6.52	2.32
IMG_8416_4_3.npz	6.17	4.98	1.19
IMG_8905_11_2.npz	6.97	5.90	1.06
IMG_8509_28_2.npz	5.66	6.83	-1.17
IMG_8583_14_4.npz	11.51	14.49	-2.98
IMG_8416_17_4.npz	7.04	4.47	2.57
IMG_7411_16_2.npz	7.62	7.59	0.02
IMG_8612_14_1.npz	7.60	5.87	1.73
IMG_7033_13_0.npz	7.60	4.08	3.52
IMG_8602_16_2.npz	7.60	6.22	1.39
IMG_8612_5_0.npz	13.04	7.17	5.87
IMG_8503_21_1.npz	15.40	14.33	1.07
IMG_8602_4_2.npz	7.60	4.95	2.65
IMG_8602_26_0.npz	7.60	18.67	-11.07
IMG_8559_30_4.npz	9.16	7.35	1.82
IMG_7033_30_2.npz	18.53	18.40	0.14
IMG_8411_4_3.npz	8.19	4.95	3.24
IMG_8612_4_3.npz	7.60	33.19	-25.59
IMG_8503_14_1.npz	13.49	9.02	4.47
IMG_8602_1_2.npz	11.33	25.83	-14.50
IMG_8612_16_2.npz	7.60	8.13	-0.53
IMG_8559_25_2.npz	13.28	15.01	-1.73
IMG_7033_25_4.npz	5.78	5.63	0.15
IMG_7460_7_1.npz	7.31	6.86	0.45
IMG_8583_22_4.npz	5.33	4.39	0.94
IMG_7033_7_2.npz	14.97	12.44	2.54
IMG_8895_5_0.npz	16.46	18.73	-2.28
IMG_8895_26_3.npz	5.97	5.73	0.24
IMG_7460_23_4.npz	6.48	6.46	0.02
IMG_8895_9_1.npz	7.60	7.59	0.01
IMG_7460_22_4.npz	10.88	4.66	6.21
IMG_7460_10_1.npz	11.44	13.28	-1.83
IMG_8503_9_1.npz	6.06	9.76	-3.70
IMG_8411_9_4.npz	32.55	63.81	-31.26
IMG_7411_5_0.npz	20.78	27.50	-6.72
IMG_7411_23_2.npz	5.55	5.82	-0.26
IMG_8583_4_2.npz	15.30	50.31	-35.00
IMG_8583_2_3.npz	8.59	13.07	-4.47
IMG_8612_3_1.npz	7.60	43.32	-35.72
IMG_7411_28_0.npz	13.03	10.48	2.55
IMG_7411_28_2.npz	14.57	10.48	4.09
IMG_7033_28_0.npz	10.43	9.26	1.18
IMG_8509_27_1.npz	11.56	4.43	7.12
